Year,Semester,Section,A,B,C,D,F,AtoF,GPA,I,S,U,Q,X,Total,Instructor
2021,Spring,CVEN-303-502,8,6,2,0,0,16,3.375,0,0,0,0,0,16,GHARAIBEH N
2021,Spring,CVEN-303-503,6,5,6,0,0,17,3,0,0,0,0,0,17,GHARAIBEH N
2021,Spring,CVEN-303-504,5,8,4,0,0,17,3.058,0,0,0,1,0,18,GHARAIBEH N
2021,Spring,CVEN-303-505,14,2,0,0,0,16,3.875,0,0,0,1,0,17,LYLE S
2021,Spring,CVEN-303-506,13,3,2,0,0,18,3.611,0,0,0,0,0,18,LYLE S
2021,Spring,CVEN-303-507,15,1,0,0,0,16,3.937,0,0,0,2,0,18,LYLE S
2021,Spring,CVEN-303-508,16,0,0,1,0,17,3.823,0,0,0,0,0,17,LYLE S
2021,Spring,CVEN-305-501,28,7,1,0,0,36,3.75,0,0,0,0,0,36,LEE J
2021,Spring,CVEN-305-502,5,22,34,3,2,66,2.378,0,0,0,17,0,83,MERCIER R
2021,Spring,CVEN-305-503,19,44,15,4,1,83,2.915,0,0,0,2,0,85,GRASLEY Z
2021,Spring,CVEN-305-504,21,35,11,2,2,71,3,0,0,0,4,0,75,LITTLE D
2021,Spring,CVEN-306-501,13,26,23,4,0,66,2.727,0,0,0,4,0,70,BULLARD J
2021,Spring,CVEN-306-502,56,14,1,1,0,72,3.736,0,0,0,0,0,72,BIRGISSON B
2021,Spring,CVEN-307-501,29,25,5,0,1,60,3.35,0,0,0,0,0,60,WANG X
2021,Spring,CVEN-307-502,22,26,6,0,1,55,3.236,0,0,0,1,0,56,LORD D
2021,Spring,CVEN-311-501,24,32,19,2,0,77,3.012,0,0,0,3,0,80,CHANG K
2021,Spring,CVEN-311-502,25,33,18,0,2,78,3.012,0,0,0,2,0,80,MILLER G
2021,Spring,CVEN-315-501,9,4,0,0,2,15,3.2,0,0,0,0,0,15,ROCKEY A
2021,Spring,CVEN-315-502,11,2,1,0,0,14,3.714,0,0,0,0,0,14,ROCKEY A
2021,Spring,CVEN-315-503,8,3,0,0,0,11,3.727,0,0,0,1,0,12,ROCKEY A
2021,Spring,CVEN-322-500,27,26,12,1,1,67,3.149,0,0,0,2,0,69,WANG X
2021,Spring,CVEN-322-501,28,11,0,0,0,39,3.717,0,0,0,1,0,40,MA X
2021,Spring,CVEN-339-500,27,19,3,0,1,50,3.42,0,0,0,1,0,51,LONDON M
2021,Spring,CVEN-339-501,28,7,4,0,0,39,3.615,0,0,0,0,0,39,TORRES J
2021,Spring,CVEN-342-501,8,12,0,0,0,20,3.4,0,0,0,0,0,20,ZOLLINGER D
2021,Spring,CVEN-342-502,7,13,0,0,0,20,3.35,1,0,0,0,0,21,ZOLLINGER D
2021,Spring,CVEN-342-503,12,9,0,0,1,22,3.409,0,0,0,0,0,22,ZOLLINGER D
